artem,fc7ff5cb584c33485dd8a4c15e718ebf436c654e98937560b46fa36717e4a23b
olena,5a91016db1ebf502860d74a1085e3a27aa166a9f6e05f7cdd43792f95936d591
dmytro,97fe72944dea0740640ff71134246a47c6367fd3f3713661fb852daaea8c1755
iryna,378c394fa440cc4ef95d5da4694028478984d8b87ef9028fd3907f5e27f95afa
bohdan,1e83a55178dc459b1a44072cc9b11b640ac12cf71ab3b355aa0d078f893a3f6c
kateryna,80eaab88396cdbe6f79d10f54854c76aa7033ca4b2be7dc5023bbd91fa06197a
taras,c062976ba34acc89907bc678a1976e1182f50da5bf708c9f7f7f341965c27215
nadiya,3a7c81fddb81a613762bfed1ea72a034037411bd1ac552568fdd8b4767649848
orest,275a0e44d02231a6cbca6095970d81a171312816a863bca9bee9c323eaef37a5
solomiya,440a98512cd9171306271609032c0a2227a7b51ed54118c24dcd485cbf677f18
